,MAE,window,distancing_reduction,recovery_days
0,430.178444993096,1,0.01,1
1,240.42171674167815,1,0.01,3
2,240.1311693064737,1,0.01,5
3,240.35523176822446,1,0.01,10
4,240.41029874073047,1,0.01,14
5,240.4344333601891,1,0.01,20
6,240.44283871651598,1,0.01,30
7,1378.819517260234,1,0.12,1
8,571.106714270092,1,0.12,3
9,386.4228591754391,1,0.12,5
10,266.6324341514825,1,0.12,10
11,250.27645905117683,1,0.12,14
12,242.12641364288902,1,0.12,20
13,236.35845008278733,1,0.12,30
14,2041.6748159627316,1,0.23,1
15,963.633378439583,1,0.23,3
16,670.2157663608956,1,0.23,5
17,430.23147701670945,1,0.23,10
18,358.83809381221374,1,0.23,14
19,307.153688299365,1,0.23,20
20,269.18602941511136,1,0.23,30
21,2495.640346643021,1,0.34,1
22,1304.5296200134273,1,0.34,3
23,929.2449957928835,1,0.34,5
24,607.4397942160183,1,0.34,10
25,508.60047226213015,1,0.34,14
26,432.4041765590187,1,0.34,20
27,372.08830327157204,1,0.34,30
28,2803.9268690762083,1,0.45,1
29,1599.8323808499133,1,0.45,3
30,1164.877561240124,1,0.45,5
31,774.6484123872689,1,0.45,10
32,651.8237556383763,1,0.45,14
33,556.1767433428994,1,0.45,20
34,479.6324554276765,1,0.45,30
35,3014.116796730227,1,0.56,1
36,1855.0701624486792,1,0.56,3
37,1378.9945439129913,1,0.56,5
38,932.2548598226823,1,0.56,10
39,788.2078921704764,1,0.56,14
40,674.967626353058,1,0.56,20
41,583.6908165630646,1,0.56,30
42,3160.0523070382624,1,0.67,1
43,2075.2705125908683,1,0.67,3
44,1573.3674583681827,1,0.67,5
45,1080.7506658866373,1,0.67,10
46,918.0442576431391,1,0.67,14
47,788.921104067712,1,0.67,20
48,684.0945412129621,1,0.67,30
49,3264.5215337120394,1,0.78,1
50,2264.974415306514,1,0.78,3
51,1749.6596213133073,1,0.78,5
52,1220.6091902445849,1,0.78,10
53,1041.6153166778722,1,0.78,14
54,898.2147486966669,1,0.78,20
55,780.9600481017814,1,0.78,30
56,3342.1134376314835,1,0.89,1
57,2428.2561271712557,1,0.89,3
58,1909.4281703382749,1,0.89,5
59,1352.2857446484336,1,0.89,10
60,1159.1946584702296,1,0.89,14
61,1003.0214044546639,1,0.89,20
62,874.4010710928524,1,0.89,30
63,3401.8231292517007,1,1.0,1
64,2568.74716086709,1,1.0,3
65,2054.1266355374146,1,1.0,5
66,1476.2177629659866,1,1.0,10
67,1271.0470508905396,1,1.0,14
68,1103.509205849915,1,1.0,20
69,964.5286653538627,1,1.0,30
70,512.4548453270013,3,0.01,1
71,220.7618774012591,3,0.01,3
72,186.88740691841713,3,0.01,5
73,169.3389372467663,3,0.01,10
74,164.84807538565025,3,0.01,14
75,161.56856383717442,3,0.01,20
76,159.18596828772556,3,0.01,30
77,1431.8985575996992,3,0.12,1
78,647.5808917246165,3,0.12,3
79,467.58999091788144,3,0.12,5
80,328.06769763380987,3,0.12,10
81,287.6041914407855,3,0.12,14
82,257.17520334186185,3,0.12,20
83,233.41212367122685,3,0.12,30
84,2073.783890948733,3,0.23,1
85,1021.734015563374,3,0.23,3
86,735.3120208774425,3,0.23,5
87,500.904204826554,3,0.23,10
88,430.71923328284964,3,0.23,14
89,377.12364480822635,3,0.23,20
90,334.8660152635065,3,0.23,30
91,2514.3821072406063,3,0.34,1
92,1347.6427306369173,3,0.34,3
93,979.9284630817543,3,0.34,5
94,664.5570674122728,3,0.34,10
95,567.6831054326874,3,0.34,14
96,492.961235326448,3,0.34,20
97,433.5949336863932,3,0.34,30
98,2814.522418556801,3,0.45,1
99,1630.853565562278,3,0.45,3
100,1203.194898513424,3,0.45,5
101,819.4341221080923,3,0.45,10
102,698.6303838200123,3,0.45,14
103,604.5522525701201,3,0.45,20
104,529.2604792598493,3,0.45,30
105,3019.9273764988143,3,0.56,1
106,1876.4495129309037,3,0.56,3
107,1406.7717845745458,3,0.56,5
108,965.9503748835988,3,0.56,10
109,823.79403117099,3,0.56,14
110,712.0341578910906,3,0.56,20
111,621.9469017880414,3,0.56,30
112,3163.1147503961224,3,0.67,1
113,2089.058631694072,3,0.67,3
114,1592.2253230355202,3,0.67,5
115,1104.5067799846893,3,0.67,10
116,943.4005761563367,3,0.67,14
117,815.5412433337713,3,0.67,20
118,711.7367999959357,3,0.67,30
119,3266.0073994777017,3,0.78,1
120,2272.868150865634,3,0.78,3
121,1761.0288616840783,3,0.78,5
122,1235.4903295467586,3,0.78,10
123,1057.6701425006843,3,0.78,14
124,915.2046421299436,3,0.78,20
125,798.7111256258664,3,0.78,30
126,3342.674751955845,3,0.89,1
127,2431.642918027735,3,0.89,3
128,1914.56475768949,3,0.89,5
129,1359.2741728922354,3,0.89,10
130,1166.8164877312552,3,0.89,14
131,1011.1523426848796,3,0.89,20
132,882.9491889105892,3,0.89,30
133,3401.8231292517007,3,1.0,1
134,2568.74716086709,3,1.0,3
135,2054.1266355374146,3,1.0,5
136,1476.2177629659866,3,1.0,10
137,1271.0470508905396,3,1.0,14
138,1103.509205849915,3,1.0,20
139,964.5286653538627,3,1.0,30
140,464.9636009587375,5,0.01,1
141,170.49497734936176,5,0.01,3
142,132.67073924154656,5,0.01,5
143,121.93426341731272,5,0.01,10
144,120.37715976617538,5,0.01,14
145,119.28283466091754,5,0.01,20
146,118.58288789572698,5,0.01,30
147,1402.1600501017167,5,0.12,1
148,605.9072614091874,5,0.12,3
149,423.2026264741516,5,0.12,5
150,281.7422677608257,5,0.12,10
151,240.7288831634913,5,0.12,14
152,209.8169329060333,5,0.12,20
153,185.99577105663911,5,0.12,30
154,2055.8976035472497,5,0.23,1
155,989.9479588812086,5,0.23,3
156,699.8011437209791,5,0.23,5
157,462.3643361429354,5,0.23,10
158,391.275774724095,5,0.23,14
159,336.99694611424684,5,0.23,20
160,294.26834063294916,5,0.23,30
161,2503.9606869121353,5,0.34,1
162,1323.9484189327711,5,0.34,3
163,952.1270011397264,5,0.34,5
164,633.267061232396,5,0.34,10
165,535.3276127677026,5,0.34,14
166,459.78581104602637,5,0.34,20
167,399.76924720235814,5,0.34,30
168,2808.6217085164385,5,0.45,1
169,1613.7172738360132,5,0.45,3
170,1182.053920760439,5,0.45,5
171,794.7444471051106,5,0.45,10
172,672.8321955610234,5,0.45,14
173,577.893552208525,5,0.45,20
174,501.91481603906647,5,0.45,30
175,3016.6785654767996,5,0.56,1
176,1864.5728615371422,5,0.56,3
177,1391.3523207052433,5,0.56,5
178,947.2542858063769,5,0.56,10
179,804.0512997223298,5,0.56,14
180,691.4719128682322,5,0.56,20
181,600.7261605867626,5,0.56,30
182,3161.393430995419,5,0.67,1
183,2081.3525756743215,5,0.67,3
184,1581.690342408981,5,0.67,5
185,1091.2383982467404,5,0.67,10
186,929.2392049435463,5,0.67,14
187,800.6745980416565,5,0.67,20
188,696.2997610775332,5,0.67,30
189,3265.167709749367,5,0.78,1
190,2268.428087194291,5,0.78,3
191,1754.6354598162147,5,0.78,5
192,1227.1227538628586,5,0.78,10
193,1048.642737092525,5,0.78,14
194,905.6515408603036,5,0.78,20
195,788.7300781510825,5,0.78,30
196,3342.3560223498603,5,0.89,1
197,2429.7251901700547,5,0.89,3
198,1911.6565906727537,5,0.89,5
199,1355.3176235552746,5,0.89,10
200,1162.501322250179,5,0.89,14
201,1006.5489241645154,5,0.89,20
202,878.1095623895623,5,0.89,30
203,3401.8231292517007,5,1.0,1
204,2568.74716086709,5,1.0,3
205,2054.1266355374146,5,1.0,5
206,1476.2177629659866,5,1.0,10
207,1271.0470508905396,5,1.0,14
208,1103.509205849915,5,1.0,20
209,964.5286653538627,5,1.0,30
210,305.3377590288165,10,0.01,1
211,149.09406703191954,10,0.01,3
212,178.8895824201115,10,0.01,5
213,201.97866890057236,10,0.01,10
214,208.39825466969367,10,0.01,14
215,213.05013684218707,10,0.01,20
216,216.64111284996267,10,0.01,30
217,1297.5374477354567,10,0.12,1
218,457.5744978004606,10,0.12,3
219,265.25153185288866,10,0.12,5
220,133.4899929819215,10,0.12,10
221,121.72900121559314,10,0.12,14
222,125.28454037082263,10,0.12,20
